chr12	459615	460616	12F-188	.	+	chr12	460071	460072	-3	chr12	460160	460161	86	89
chr16	395461	396462	16R-166	.	-	chr16	396012	396013	-36	chr16	395911	395912	65	101
chr4	147088	148089	ST4052	.	-	chr4	147640	147641	-13	chr4	147537	147538	90	103
chr4	547327	548328	ST4182	.	-	chr4	547880	547881	-80	chr4	547775	547776	25	105
chr13	482227	483228	13R-217	.	-	chr13	482780	482781	-68	chr13	482674	482675	38	106
chr16	938055	939056	16F-384	.	+	chr16	938502	938503	-28	chr16	938609	938610	79	107
chr14	572493	573494	14R-250	.	-	chr14	573048	573049	-6	chr14	572938	572939	104	110
chr14	204614	205615	ST2763	.	+	chr14	205059	205060	-78	chr14	205170	205171	33	111
chr13	316679	317680	13F-146	.	+	chr13	317123	317124	-32	chr13	317235	317236	80	112
chr5	63487	64488	5R-36	.	-	chr5	64043	64044	-67	chr5	63931	63932	45	112
chr4	1487795	1488796	4F-692	.	+	chr4	1488238	1488239	-40	chr4	1488352	1488353	74	114
chr10	115191	116192	ST5409	.	-	chr10	115749	115750	-84	chr10	115633	115634	32	116
chr14	598737	599738	14F-236	.	+	chr14	599178	599179	-2	chr14	599296	599297	116	118
chr11	144448	145449	ST5657	.	-	chr11	145008	145009	-54	chr11	144889	144890	65	119
chr14	587872	588873	ST2905	.	+	chr14	588312	588313	-42	chr14	588433	588434	79	121
chr7	752530	753531	7F-333	.	+	chr7	752970	752971	-6	chr7	753091	753092	115	121
chr15	632386	633387	ST6823	.	-	chr15	632947	632948	-87	chr15	632825	632826	35	122
chr14	16943	17944	ST6407	.	-	chr14	17505	17506	-85	chr14	17382	17383	38	123
chr14	196962	197963	14F-67	.	+	chr14	197401	197402	-122	chr14	197524	197525	1	123
chr16	426096	427097	16R-179	.	-	chr16	426658	426659	-44	chr16	426535	426536	79	123
chr4	1343960	1344961	4F-617	.	+	chr4	1344399	1344400	-73	chr4	1344522	1344523	50	123
chr3	76744	77745	3F-33	.	+	chr3	77182	77183	-3	chr3	77306	77307	121	124
chr14	727125	728126	14F-290	.	+	chr14	727563	727564	-7	chr14	727688	727689	118	125
chr7	541609	542610	TEL07R_Y_prime_element	.	+	chr7	1084220	1084221	-126	.	-1	-1	-1	125
chr7	707995	708996	7R-319	.	-	chr7	708558	708559	-3	chr7	708433	708434	122	125
chr11	387700	388701	11R-173	.	-	chr11	388263	388264	-78	chr11	388137	388138	48	126
chr14	571145	572146	14R-245	.	-	chr14	571708	571709	-46	chr14	571582	571583	80	126
chr15	108612	109613	ST3005	.	+	chr15	109049	109050	-64	chr15	109176	109177	63	127
chr15	108612	109613	ST6661	.	-	chr15	109176	109177	-123	chr15	109049	109050	4	127
chr10	172217	173218	10F-82	.	+	chr10	172653	172654	-91	chr10	172781	172782	37	128
chr16	98561	99562	ST3349	.	+	chr16	98997	98998	-3	chr16	99125	99126	125	128
chr4	146755	147756	4F-90	.	+	chr4	147191	147192	-42	chr4	147319	147320	86	128
chr9	196547	197548	9F-91	.	+	chr9	196983	196984	-4	chr9	197111	197112	124	128
chr10	665205	666206	10F-305	.	+	chr10	665641	665642	-94	chr10	665770	665771	35	129
chr16	70652	71653	ST3339	.	+	chr16	71088	71089	-16	chr16	71217	71218	113	129
chr16	784304	785305	16R-349	.	-	chr16	784869	784870	-89	chr16	784740	784741	40	129
chr13	118696	119697	ST6168	.	-	chr13	119261	119262	-129	chr13	119131	119132	1	130
chr16	876467	877468	16F-353	.	+	chr16	876902	876903	-94	chr16	877032	877033	36	130
chr3	124808	125809	3R-54	.	-	chr3	125373	125374	-121	chr3	125243	125244	9	130
chr9	99550	100551	ST1589	.	+	chr9	99985	99986	-15	chr9	100115	100116	115	130
chr14	351847	352848	ST2818	.	+	chr14	352282	352283	-102	chr14	352413	352414	29	131
chr15	407377	408378	ST6752	.	-	chr15	407943	407944	-122	chr15	407812	407813	9	131
chr16	108635	109636	ST6998	.	-	chr16	109201	109202	-101	chr16	109070	109071	30	131
chr16	928263	929264	ST3628	.	+	chr16	928698	928699	-12	chr16	928829	928830	119	131
chr10	374681	375682	10F-170	.	+	chr10	375115	375116	-4	chr10	375247	375248	128	132
chr16	899890	900891	16R-410	.	-	chr16	900456	900457	-22	chr16	900324	900325	110	132
chr14	350348	351349	ST2816	.	+	chr14	350782	350783	-50	chr14	350915	350916	83	133
chr14	355749	356750	14R-141	.	-	chr14	356316	356317	-109	chr14	356183	356184	24	133
chr2	624775	625776	ST0216	.	+	chr2	625209	625210	-98	chr2	625342	625343	35	133
chr3	309450	310451	ST4011	.	-	chr3	310017	310018	-49	chr3	309884	309885	84	133
chr7	524735	525736	ST1210	.	+	chr7	525169	525170	-21	chr7	525302	525303	112	133
chr10	141196	142197	10F-65	.	+	chr10	141629	141630	-67	chr10	141763	141764	67	134
chr11	659458	660459	11F-292	.	+	chr11	659891	659892	-102	chr11	660025	660026	32	134
chr12	1027725	1028726	ST2405	.	+	chr12	1028158	1028159	-20	chr12	1028292	1028293	114	134
chr13	798011	799012	ST2681	.	+	chr13	798444	798445	-45	chr13	798578	798579	89	134
chr15	167975	168976	15R-99	.	-	chr15	168542	168543	-124	chr15	168408	168409	10	134
chr15	167975	168976	ST3024	.	+	chr15	168408	168409	-25	chr15	168542	168543	109	134
chr7	545693	546694	ST4898	.	-	chr7	546260	546261	-34	chr7	546126	546127	100	134
chr15	390697	391698	ST6744	.	-	chr15	391265	391266	-44	chr15	391130	391131	91	135
chr16	885586	886587	16R-404	.	-	chr16	886154	886155	-11	chr16	886019	886020	124	135
chr16	885586	886587	ST7253	.	-	chr16	886154	886155	-16	chr16	886019	886020	119	135
chr5	543882	544883	5R-232	.	-	chr5	544450	544451	-98	chr5	544315	544316	37	135
chr7	666847	667848	ST4935	.	-	chr7	667415	667416	-77	chr7	667280	667281	58	135
chr9	346698	347699	9R-150	.	-	chr9	347266	347267	-120	chr9	347131	347132	15	135
chr11	631407	632408	ST2116	.	+	chr11	631839	631840	-8	chr11	631975	631976	128	136
chr12	607982	608983	12F-239	.	+	chr12	608414	608415	-47	chr12	608550	608551	89	136
chr12	963827	964828	12R-361	.	-	chr12	964395	964396	-123	chr12	964259	964260	13	136
chr4	1514104	1515105	4F-705	.	+	chr4	1514536	1514537	-134	chr4	1514672	1514673	2	136
chr4	1514104	1515105	4R-617	.	-	chr4	1514672	1514673	-32	chr4	1514536	1514537	104	136
chr4	617251	618252	4F-306	.	+	chr4	617683	617684	-52	chr4	617819	617820	84	136
chr11	272566	273567	ST5702	.	-	chr11	273135	273136	-21	chr11	272998	272999	116	137
chr11	454370	455371	ST2056	.	+	chr11	454802	454803	-86	chr11	454939	454940	51	137
chr12	373796	374797	tR_28ACG_29L	.	+	chr12	374228	374229	-126	chr12	374365	374366	11	137
chr13	279197	280198	ST6213	.	-	chr13	279766	279767	-26	chr13	279629	279630	111	137
chr4	578478	579479	ST4196	.	-	chr4	579047	579048	-63	chr4	578910	578911	74	137
chr4	643906	644907	4F-316	.	+	chr4	644338	644339	-3	chr4	644475	644476	134	137
chr7	1081336	1082337	7F-479	.	+	chr7	1081768	1081769	-26	chr7	1081905	1081906	111	137
chr9	428828	429829	9R-194	.	-	chr9	429397	429398	-75	chr9	429260	429261	62	137
chr14	179438	180439	14F-61	.	+	chr14	179869	179870	-89	chr14	180007	180008	49	138
chr15	904088	905089	ST3274	.	+	chr15	904519	904520	-102	chr15	904657	904658	36	138
chr16	776181	777182	16R-346	.	-	chr16	776750	776751	-40	chr16	776612	776613	98	138
chr7	440368	441369	tF_28GAA_29G	.	-	chr7	440937	440938	-131	chr7	440799	440800	7	138
chr7	528596	529597	ST1212	.	+	chr7	529027	529028	-19	chr7	529165	529166	119	138
chr8	272705	273706	8R-130	.	-	chr8	273274	273275	-53	chr8	273136	273137	85	138
chr9	280599	281600	ST1643	.	+	chr9	281030	281031	-123	chr9	281168	281169	15	138
chr9	421364	422365	ST5370	.	-	chr9	421933	421934	-86	chr9	421795	421796	52	138
chr14	730836	731837	ST2960	.	+	chr14	731267	731268	-47	chr14	731406	731407	92	139
chr4	1384276	1385277	ST4431	.	-	chr4	1384846	1384847	-78	chr4	1384707	1384708	61	139
chr1	133441	134442	1R-55	.	-	chr1	134011	134012	-53	chr1	133871	133872	87	140
chr11	454509	455510	11F-204	.	+	chr11	454939	454940	-17	chr11	455079	455080	123	140
chr13	439285	440286	13R-199	.	-	chr13	439855	439856	-17	chr13	439715	439716	123	140
chr14	380882	381883	ST2830	.	+	chr14	381312	381313	-24	chr14	381452	381453	116	140
chr15	1038838	1039839	15R-466	.	-	chr15	1039408	1039409	-12	chr15	1039268	1039269	128	140
